bisphenol,ID,ID.2,treatment,temp,exposure,temp.acute,body.mass_pre,condition,CS.slope.1,CS.slope.2,CS.slope,CS.dilution,CS.activity,LDH.slope.1,LDH.slope.2,LDH.slope,LDH.dilution,LDH.activity
BPA,BPA-18-BPA-1,18-BPA-1,18-expose,18,expose,18,0.52,1.832752521,0.0527,0.0551,0.0539,10,3.963235294,0.0882,0.092,0.0901,100,66.25
BPA,BPA-18-C-6,18-C-6,18-C,18,control,28,0.53,2.265571487,0.0686,0.0701,0.06935,10,5.099264706,0.0702,0.0708,0.0705,200,103.6764706
BPA,BPA-18-BPA-6,18-BPA-6,18-expose,18,expose,28,0.38,1.676580034,0.0476,0.0594,0.0535,10,3.933823529,0.0482,0.0449,0.04655,200,68.45588235
BPA,BPA-18-BPA-2,18-BPA-2,18-expose,18,expose,18,0.53,2.265571487,,,,,,,,,,
BPA,BPA-18-BPA-7,18-BPA-7,18-expose,18,expose,28,0.46,2.260840324,0.051,0.0472,0.0491,10,3.610294118,0.0518,0.0503,0.05105,200,75.07352941
BPA,BPA-18-C-7,18-C-7,18-C,18,control,28,0.36,1.639941691,0.0589,0.0521,0.0555,10,4.080882353,0.0702,,0.0702,200,103.2352941
BPA,BPA-18-BPA-3,18-BPA-3,18-expose,18,expose,18,0.4,1.944501591,0.0234,0.0177,0.02055,10,1.511029412,0.078,0.074,0.076,100,55.88235294
BPA,BPA-18-C-8,18-C-8,18-C,18,control,28,0.43,1.608625284,0.1028,0.1011,0.10195,10,7.496323529,0.0898,0.09,0.0899,200,132.2058824
BPA,BPA-18-BPA-8,18-BPA-8,18-expose,18,expose,28,0.41,2.01509681,0.0533,0.0565,0.0549,10,4.036764706,0.0646,0.0635,0.06405,200,94.19117647
BPA,BPA-18-BPA-4,18-BPA-4,18-expose,18,expose,18,0.47,2.009091696,0.0375,0.0419,0.0397,10,2.919117647,0.0601,0.0638,0.06195,100,45.55147059
BPA,BPA-18-BPA-9,18-BPA-9,18-expose,18,expose,28,0.39,2.119594707,0.0558,0.0538,0.0548,10,4.029411765,0.038,0.0396,0.0388,200,57.05882353
