bisphenol,flume ID,ID,ID_2,treatment,temp,exposure,temp.acute,body.mass,length,length.2,condition,ucrit_pre,ucrit2_pre,body.mass_post,length_post,length2_post,condition_post,ucrit_post,ucrit2_post,ucrit_diff,ucrit_change
BPA,1,BPA-18-C-1,18-C-1,18-C,18,control,18,0.43,2.79,0.0279,1.979957398,0.2969,10.64157706,,,,,,,,
BPA,2,BPA-18-BPA-1,18-BPA-1,18-expose,18,expose,18,0.52,3.05,0.0305,1.832752521,0.26,8.524590164,0.5,3.05,0.0305,1.76226204,0.2604,8.537704918,0.013114754,0.153846153
BPA,3,BPA-18-C-6,18-C-6,18-C,18,control,28,0.53,2.86,0.0286,2.265571487,0.392,13.70629371,0.54,3.01,0.0301,1.980132596,0.275,9.136212625,-4.570081085,-33.34293852
BPA,4,BPA-18-BPA-6,18-BPA-6,18-expose,18,expose,28,0.38,2.83,0.0283,1.676580034,0.3841,13.57243816,0.34,2.83,0.0283,1.500097926,,,,
BPA,1,BPA-18-BPA-2,18-BPA-2,18-expose,18,expose,18,0.53,2.86,0.0286,2.265571487,0.2505,8.758741259,0.52,2.86,0.0286,2.222824855,0.2552,8.923076923,0.164335664,1.876247501
BPA,2,BPA-18-C-2,18-C-2,18-C,18,control,18,0.5,2.92,0.0292,2.008266991,0.2997,10.26369863,,,,,,,,
BPA,3,BPA-18-BPA-7,18-BPA-7,18-expose,18,expose,28,0.46,2.73,0.0273,2.260840324,0.3465,12.69230769,0.42,2.96,0.0296,1.619474661,0.2459,8.307432432,-4.384875258,-34.54750204
BPA,4,BPA-18-C-7,18-C-7,18-C,18,control,28,0.36,2.8,0.028,1.639941691,0.4182,14.93571429,0.32,2.88,0.0288,1.339591907,0.319,11.07638889,-3.859325401,-25.83957704
BPA,1,BPA-18-C-3,18-C-3,18-C,18,control,18,0.47,2.95,0.0295,1.830761665,0.2716,9.206779661,,,,,,,,
BPA,2,BPA-18-BPA-3,18-BPA-3,18-expose,18,expose,18,0.4,2.74,0.0274,1.944501591,0.261,9.525547445,0.39,2.75,0.0275,1.875281743,0.153,5.563636364,-3.961911081,-41.59247648
BPA,3,BPA-18-C-8,18-C-8,18-C,18,control,28,0.43,2.99,0.0299,1.608625284,0.3952,13.2173913,0.46,3.06,0.0306,1.605438051,0.3592,11.73856209,-1.478829208,-11.18851047
BPA,4,BPA-18-BPA-8,18-BPA-8,18-expose,18,expose,28,0.41,2.73,0.0273,2.01509681,0.3586,13.13553114,0.45,2.75,0.0275,2.163786627,0.3225,11.72727273,-1.408258413,-10.72098566
BPA,1,BPA-18-BPA-4,18-BPA-4,18-expose,18,expose,18,0.47,2.86,0.0286,2.009091696,0.2552,8.923076923,0.42,2.77,0.0277,1.976104846,0.2421,8.740072202,-0.183004721,-2.050914977
BPA,2,BPA-18-C-4,18-C-4,18-C,18,control,18,0.38,2.73,0.0273,1.867650702,0.2572,9.421245421,,,,,,,,
BPA,3,BPA-18-BPA-9,18-BPA-9,18-expose,18,expose,28,0.39,2.64,0.0264,2.119594707,0.3417,12.94318182,0.34,2.74,0.0274,1.652826353,0.249,9.087591241,-3.855590579,-29.78858392
BPA,4,BPA-18-C-9,18-C-9,18-C,18,control,28,0.38,2.55,0.0255,2.291727918,0.355,13.92156863,0.35,2.55,0.0255,2.110802029,0.3012,11.81176471,-2.109803924,-15.15492956
BPA,1,BPA-18-C-5,18-C-5,18-C,18,control,18,0.39,2.8,0.028,1.776603499,0.2412,8.614285714,,,,,,,,
BPA,2,BPA-18-BPA-5,18-BPA-5,18-expose,18,expose,18,0.42,2.75,0.0275,2.019534185,0.299,10.87272727,0.5,2.75,0.0275,2.404207363,0.2804,10.19636364,-0.676363634,-6.220735729
BPA,3,BPA-18-C-10,18-C-10,18-C,18,control,28,0.34,2.53,0.0253,2.099507128,0.3378,13.35177866,0.41,2.53,0.0253,2.531758596,,,,
BPA,4,BPA-18-BPA-10,18-BPA-10,18-expose,18,expose,28,0.52,2.96,0.0296,2.005063866,0.3541,11.96283784,0.4,2.95,0.0295,1.558095034,0.247,8.372881356,-3.589956484,-30.00923804
BPA,1,BPA-18-C-6,18-C-6,18-C,18,control,18,0.53,2.88,0.0288,2.218699096,0.2528,8.777777778,0.52,2.91,0.0291,2.110203683,0.261,8.969072165,0.191294387,2.179303143
BPA,2,BPA-18-BPA-6,18-BPA-6,18-expose,18,expose,18,0.39,2.95,0.0295,1.519142658,0.263,8.915254237,0.37,2.83,0.0283,1.632459507,,,,
